,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2021-04-05,4.01,4.05,4.0,4.05,4.05,21294321,0.0000,1.0,4.0435,4.0343,49.3928,48.3316,54.6440,-0.0330,-0.0289,0.0040,32.4356,-11.4510,30.0000,0.0000,3.8007,4.0435,4.2863,-1388024709.7291,-487737669.0000
2021-04-01,4.0,4.04,3.97,4.0,4.0,24315868,0.0000,1.0,4.0350,4.0326,48.0223,50.8633,42.9825,-0.0340,-0.0344,-0.0004,33.1232,-25.6882,35.0000,0.0000,3.7821,4.0350,4.2879,-1409319030.7291,-509031990.0000
2021-03-31,3.97,4.0,3.96,3.96,3.96,18639328,0.0000,1.0,4.0260,4.0360,46.9300,55.7226,47.3684,-0.0339,-0.0358,-0.0020,33.8714,-39.6743,40.0000,5.0000,3.7565,4.0260,4.2955,-1405845335.3005,-533347858.0000
2021-03-30,3.99,4.0,3.91,3.99,3.99,29751356,0.0000,1.0,4.0270,4.0440,47.6433,52.6075,62.2389,-0.0334,-0.0331,0.0004,34.7539,-44.7143,45.0000,10.0000,3.7583,4.0270,4.2957,-1387206007.3005,-514708530.0000
2021-03-29,4.04,4.08,4.0,4.02,4.02,26233552,0.0000,1.0,4.0295,4.0497,48.3414,38.0643,57.5606,-0.0335,-0.0321,0.0014,35.6828,-1.7642,50.0000,15.0000,3.7613,4.0295,4.2977,-1410345950.8561,-484957174.0000
2021-03-26,4.02,4.09,3.97,4.06,4.06,34522194,0.0000,1.0,4.0305,4.0529,49.2555,25.1647,38.0231,-0.0338,-0.0334,0.0005,36.3691,2.6560,55.0000,20.0000,3.7623,4.0305,4.2987,-1397229174.8561,-458723622.0000
2021-03-25,3.92,4.0,3.9,3.97,3.97,37997345,0.0000,1.0,4.0235,4.0521,47.1180,20.8188,18.6092,-0.0340,-0.0387,-0.0047,37.0916,-50.9815,60.0000,25.0000,3.7515,4.0235,4.2955,-1414490271.8561,-493245816.0000
2021-03-24,3.98,3.9966,3.92,3.92,3.92,35003506,0.0000,1.0,4.0275,4.0608,45.9157,20.9499,18.8617,-0.0328,-0.0357,-0.0029,38.0336,-62.7763,65.0000,30.0000,3.7564,4.0275,4.2986,-1429689209.8561,-531243161.0000
2021-03-23,4.06,4.08,3.98,3.98,3.98,33771349,0.0000,1.0,4.0335,4.0756,47.1375,24.7253,24.9854,-0.0321,-0.0263,0.0058,38.9656,-21.2602,70.0000,35.0000,3.7669,4.0335,4.3001,-1394685703.8561,-496239655.0000
2021-03-22,4.07,4.11,4.04,4.06,4.06,31188942,0.0000,1.0,4.0320,4.0856,48.7817,31.4782,19.0025,-0.0335,-0.0199,0.0136,39.7703,19.6831,75.0000,40.0000,3.7639,4.0320,4.3001,-1360914354.8561,-462468306.0000
2021-03-19,3.94,4.09,3.93,4.02,4.02,47529122,0.0000,1.0,4.0270,4.0883,47.9188,49.2088,30.1879,-0.0369,-0.0198,0.0171,40.4406,-14.6650,80.0000,45.0000,3.7574,4.0270,4.2966,-1347547665.4275,-493657248.0000
2021-03-18,4.04,4.13,3.91,3.91,3.91,83860089,0.0000,1.0,4.0295,4.0955,45.5209,66.6651,45.2441,-0.0412,-0.0152,0.0260,41.1795,-35.9996,85.0000,50.0000,3.7593,4.0295,4.2997,-1353488805.6775,-541186370.0000
2021-03-17,4.19,4.3,4.16,4.28,4.28,24682453,0.0000,1.0,4.0400,4.1151,53.3734,81.4476,72.1944,-0.0477,0.0021,0.0498,41.9574,126.8259,90.0000,55.0000,3.7729,4.0400,4.3071,-1269628716.6775,-457326281.0000
2021-03-16,4.32,4.35,4.19,4.24,4.24,37064662,0.0000,1.0,4.0315,4.0977,52.5324,86.0409,82.5568,-0.0602,-0.0135,0.0467,42.0544,153.0990,95.0000,60.0000,3.7855,4.0315,4.2775,-1287259040.2489,-482008734.0000
