,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2021-03-04,3.96,4.0,3.75,3.82,3.82,77661740,0.0000,1.0,4.0855,4.0938,43.7804,22.1724,27.0291,-0.0778,-0.0242,-0.1020,43.1506,-162.6267,0.0000,100.0000,3.8367,4.3343,4.0855,-1281071713.2281,-640383010.0000
2021-03-03,4.0,4.02,3.95,3.98,3.98,41330272,0.0000,1.0,4.1295,4.1226,46.4434,29.2294,30.9672,-0.0717,-0.0177,-0.0895,43.6028,-87.7895,0.0000,70.0000,3.7895,4.4695,4.1295,-1246900547.6281,-562721270.0000
2021-03-02,4.03,4.07,4.0,4.04,4.04,29041808,0.0000,1.0,4.1570,4.1376,47.4720,29.6854,35.5048,-0.0673,-0.0212,-0.0885,43.5826,-62.8427,0.0000,75.0000,3.7826,4.5314,4.1570,-1240996223.0567,-521390998.0000
2021-03-01,3.99,4.0999,3.98,4.04,4.04,40902383,0.0000,1.0,4.1995,4.1479,47.4720,33.9869,42.2307,-0.0620,-0.0302,-0.0922,43.4331,-62.7492,0.0000,80.0000,3.7120,4.6870,4.1995,-1245145052.7710,-521390998.0000
2021-02-26,4.01,4.04,3.91,3.92,3.92,68757771,0.0000,1.0,4.2255,4.1592,45.2846,42.8421,42.7296,-0.0545,-0.0410,-0.0955,43.2756,-92.0637,0.0000,85.0000,3.7197,4.7313,4.2255,-1245179166.5183,-562293381.0000
2021-02-25,4.25,4.34,4.01,4.05,4.05,120332289,0.0000,1.0,4.2640,4.1844,47.3123,49.8630,34.0968,-0.0442,-0.0419,-0.0861,43.1625,-43.4145,0.0000,90.0000,3.7402,4.7878,4.2640,-1186999514.1336,-493535610.0000
2021-02-24,3.94,4.12,3.91,4.04,4.04,77998703,0.0000,1.0,4.3890,4.1986,47.1393,35.4839,23.5364,-0.0337,-0.0523,-0.0860,42.8103,-65.7183,5.0000,95.0000,3.2719,5.5061,4.3890,-1095838689.1336,-613867899.0000
2021-02-23,3.93,3.97,3.83,3.95,3.95,68365820,0.0000,1.0,4.4235,4.2153,45.6127,16.9436,21.6907,-0.0207,-0.0631,-0.0837,42.6189,-86.5203,10.0000,100.0000,3.3090,5.5380,4.4235,-1114409808.8955,-691866602.0000
2021-02-22,4.02,4.04,3.96,3.96,3.96,55278031,0.0000,1.0,4.4685,4.2432,45.7522,18.1818,28.0115,-0.0049,-0.0655,-0.0704,42.5473,-83.3499,15.0000,100.0000,3.3615,5.5755,4.4685,-1163242537.4670,-623500782.0000
2021-02-19,4.13,4.14,4.06,4.07,4.07,28413650,0.0000,1.0,4.4805,4.2730,47.2624,29.9465,33.1740,0.0115,-0.0649,-0.0534,42.1733,-70.1670,20.0000,95.0000,3.3907,5.5703,4.4805,-1107964506.4670,-568222751.0000
2021-02-18,4.07,4.14,4.05,4.12,4.12,43669195,0.0000,1.0,4.4880,4.2944,47.9458,35.9061,31.6839,0.0277,-0.0698,-0.0421,41.5458,-69.7040,25.0000,100.0000,3.4076,5.5684,4.4880,-1086654268.9670,-539809101.0000
2021-02-17,4.1,4.12,4.05,4.11,4.11,50065941,0.0000,1.0,4.4920,4.3127,47.8024,33.6695,26.5648,0.0452,-0.0774,-0.0322,40.8854,-72.6502,30.0000,0.0000,3.4165,5.5675,4.4920,-1110914932.8559,-583478296.0000
